Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-04-12,659.238,16.000,2173.967,2.792,6.000,7.000,69.589,57.000,98.000,6197.000,102.000
2020-04-13,664.315,15.000,2218.929,2.249,4.000,3.000,69.698,60.000,88.000,4944.000,97.000
2020-04-14,668.116,14.000,2247.053,2.179,4.000,2.000,70.885,58.000,76.000,4855.000,91.500
2020-04-15,653.530,13.000,2237.070,2.231,1.000,,73.019,61.000,81.000,4898.000,112.000
2020-04-16,646.874,17.000,2235.147,2.343,3.000,4.000,71.491,58.000,102.000,5235.000,102.000
2020-04-17,606.153,15.000,2174.094,2.012,3.000,,74.363,62.000,78.000,4434.000,113.000
2020-04-18,664.365,16.000,2253.413,3.466,8.000,1.000,78.489,67.000,120.000,7818.000,102.000
2020-04-19,698.624,17.000,2199.952,3.062,10.000,11.000,73.816,60.000,122.000,6800.000,99.000
2020-04-20,617.652,15.000,2158.252,2.107,6.000,,73.978,61.000,90.000,4698.000,111.000
2020-04-21,828.943,16.000,2280.475,3.107,21.000,1.000,75.144,62.000,100.000,6638.000,106.000
2020-04-22,974.006,15.000,2260.643,3.305,41.000,,85.307,61.000,108.000,6994.000,127.000
2020-04-23,849.067,16.000,2233.836,2.790,35.000,1.000,78.064,60.000,95.000,6267.000,123.000
2020-04-24,693.070,12.000,2188.986,2.170,16.000,1.000,79.573,60.000,61.000,4785.353,139.000
2020-04-25,887.705,15.000,2337.078,4.074,14.000,11.000,78.600,60.000,191.000,9101.647,103.000
2020-04-26,773.649,18.000,2238.445,3.163,8.000,16.000,70.340,58.000,129.000,6992.000,94.000
2020-04-27,716.389,18.000,2337.222,2.239,,3.000,68.650,58.000,82.000,4943.298,98.000
2020-04-28,732.923,15.000,2269.492,2.548,19.000,1.000,73.942,61.000,82.000,5488.000,102.000
2020-04-29,707.511,15.000,2317.239,2.023,1.000,1.000,71.581,62.000,67.000,4443.000,105.000
2020-04-30,648.854,15.000,2295.658,1.670,7.000,1.000,76.207,64.000,59.000,3749.000,103.000
2020-05-01,837.157,14.000,2213.301,3.291,31.000,1.900,80.402,59.000,92.000,7013.000,112.000
2020-05-02,952.053,17.000,2313.265,4.120,37.000,3.000,88.943,62.000,158.000,8963.000,105.500
2020-05-03,1123.786,15.000,2392.430,6.108,51.000,11.000,92.143,62.000,185.000,13146.000,102.500
2020-05-04,987.523,16.000,2276.891,4.157,43.000,2.000,80.585,59.000,115.000,8568.000,93.000
2020-05-05,988.156,16.000,2267.078,4.104,46.000,4.664,83.975,60.000,121.000,8693.000,92.000
2020-05-06,738.166,17.000,2219.507,1.840,30.000,1.000,73.382,59.000,77.000,4130.000,98.500
2020-05-07,910.809,15.000,2235.223,3.567,33.000,4.000,77.236,56.000,105.000,7622.000,94.000
2020-05-08,890.033,15.000,2271.314,2.732,34.000,1.000,80.163,61.000,84.000,5712.383,89.000
2020-05-09,902.521,16.000,2385.113,3.677,30.000,10.000,80.528,64.000,136.000,8280.000,119.500
2020-05-10,1367.104,16.000,2310.707,7.557,94.000,10.000,100.127,60.000,269.000,16367.000,132.000
2020-05-11,991.731,18.000,2330.413,4.415,41.000,10.000,82.344,57.000,139.000,9449.000,101.500
